Event,eq_lat,eq_lon,st_lat,st_lon,distance,station,network
2017-07-20,36.9643,27.4332,36.60233,27.17817,46.17134481556875,NIS1,HT
2017-07-20,36.9643,27.4332,36.7516,26.9785,46.91866915718611,KOSK,HC
2017-07-20,36.9643,27.4332,37.6608,27.8792,86.82362489122347,AYDN,TU
2017-07-20,36.9643,27.4332,37.70425,26.83772,97.61584997647415,SMG,HL
2017-07-20,36.9643,27.4332,36.21356,28.12122,103.59141144409065,ARG,HL
2017-07-20,36.9643,27.4332,37.9467,27.8908,116.30685386334635,AYDB,KO
2017-07-20,36.9643,27.4332,36.831561,25.893836,137.9912499451586,AMGA,HL
2017-07-20,36.9643,27.4332,36.6353,29.0835,151.73584237604868,FETY,KO
2017-07-20,36.9643,27.4332,35.5471,27.16106,159.14813622637024,KARP,GE
2017-07-20,36.9643,27.4332,35.5471,27.16106,159.14813622637024,KARP,HL
2017-07-20,36.9643,27.4332,37.07274,25.52301,170.41050597394639,APE,GE
2017-07-20,36.9643,27.4332,37.07274,25.52301,170.41050597394639,APE,HL
2017-07-20,36.9643,27.4332,37.4717,29.3018,175.14645489454307,APMY,KO
2017-07-20,36.9643,27.4332,36.37052,25.45926,188.36200600644685,SANT,GE
2017-07-20,36.9643,27.4332,36.37052,25.45926,188.36200600644685,SANT,HL
2017-07-20,36.9643,27.4332,36.4709,25.4056,189.2348691282429,CMBO,HT
2017-07-20,36.9643,27.4332,36.4159,25.4282,189.23748714367298,SNT1,HA
2017-07-20,36.9643,27.4332,36.47337,25.37244,191.99161760876774,SAP4,HL
2017-07-20,36.9643,27.4332,36.4037,25.3953,192.47063174865923,SNT5,HA
2017-07-20,36.9643,27.4332,36.43561,25.34539,195.56942619522644,SAP3,HL
2017-07-20,36.9643,27.4332,38.3869,26.0506,199.5121768245567,CHOS,HT
